touchpoint_id, user_id, timestamp_iso      , channel       , campaign          , conversion, is_conversion, touchpoint_rank, touchpoint_rank_reverse, is_first_touch, is_last_touch, n_touchpoints, linear_weight      , converted_any_yes, last_touch_yes, n_conversion_events, first_conversion_rank, any_yes_before_last, multiple_yes_events
         7277,   10698, 2025-02-10 08:31:00, Search Ads    , Retargeting       , No        ,             0,               2,                       2,              0,             0,             3, 0.3333333333333333 ,                 0,              0,                   0,                      ,                   0,                   0
         2605,   10698, 2025-02-11 03:23:00, Display Ads   , Brand Awareness   , No        ,             0,               3,                       1,              0,             1,             3, 0.3333333333333333 ,                 0,              0,                   0,                      ,                   0,                   0
         3620,   10766, 2025-02-10 15:17:00, Social Media  , Brand Awareness   , Yes       ,             1,               1,                       1,              1,             1,             1, 1.0                ,                 1,              1,                   1,                   1.0,                   0,                   0
         1901,   10781, 2025-02-10 15:32:00, Display Ads   , Winter Sale       , No        ,             0,               1,                       2,              1,             0,             2, 0.5                ,                 0,              0,                   0,                      ,                   0,                   0
         4761,   10781, 2025-02-11 19:41:00, Direct Traffic, -                 , No        ,             0,               2,                       1,              0,             1,             2, 0.5                ,                 0,              0,                   0,                      ,                   0,                   0
         5413,   10843, 2025-02-11 05:15:00, Email         , Winter Sale       , Yes       ,             1,               1,                       2,              1,             0,             2, 0.5                ,                 1,              0,                   1,                   1.0,                   1,                   0
         9133,   10843, 2025-02-11 09:02:00, Referral      , Brand Awareness   , No        ,             0,               2,                       1,              0,             1,             2, 0.5                ,                 1,              0,                   1,                   1.0,                   1,                   0
         6524,   10919, 2025-02-10 00:51:00, Direct Traffic, -                 , No        ,             0,               1,                       2,              1,             0,             2, 0.5                ,                 0,              0,                   0,                      ,                   0,                   0
         7712,   10919, 2025-02-10 14:14:00, Referral      , Brand Awareness   , No        ,             0,               2,                       1,              0,             1,             2, 0.5                ,                 0,              0,                   0,                      ,                   0,                   0
         6635,   10925, 2025-02-10 03:51:00, Email         , Brand Awareness   , Yes       ,             1,               1,                       6,              1,             0,             6, 0.16666666666666666,                 1,              1,                   3,                   1.0,                   1,                   1
         5648,   10925, 2025-02-10 08:24:00, Search Ads    , Discount Offer    , No        ,             0,               2,                       5,              0,             0,             6, 0.16666666666666666,                 1,              1,                   3,                   1.0,                   1,                   1
