user_id,n_touchpoints,channel_sequence,first_touch_channel,first_touch_campaign,last_touch_channel,last_touch_campaign,converted_any_yes,last_touch_yes,n_conversion_events,first_conversion_rank,any_yes_before_last,multiple_yes_events,journey_start,journey_end,all_campaigns_ordered
10766,1,Social Media,Social Media,Brand Awareness,Social Media,Brand Awareness,1,1,1,1.0,0,0,2025-02-10 15:17:00,2025-02-10 15:17:00,Brand Awareness
10781,2,Display Ads -> Direct Traffic,Display Ads,Winter Sale,Direct Traffic,-,0,0,0,,0,0,2025-02-10 15:32:00,2025-02-11 19:41:00,"Winter Sale, -"
10843,2,Email -> Referral,Email,Winter Sale,Referral,Brand Awareness,1,0,1,1.0,1,0,2025-02-11 05:15:00,2025-02-11 09:02:00,"Winter Sale, Brand Awareness"
10919,2,Direct Traffic -> Referral,Direct Traffic,-,Referral,Brand Awareness,0,0,0,,0,0,2025-02-10 00:51:00,2025-02-10 14:14:00,"-, Brand Awareness"
10925,6,Email -> Search Ads -> Display Ads -> Referral -> Referral -> Search Ads,Email,Brand Awareness,Search Ads,-,1,1,3,1.0,1,1,2025-02-10 03:51:00,2025-02-11 17:49:00,"Brand Awareness, Discount Offer, Retargeting, Winter Sale, -, -"
11007,1,Referral,Referral,Retargeting,Referral,Retargeting,0,0,0,,0,0,2025-02-11 22:53:00,2025-02-11 22:53:00,Retargeting
11058,3,Search Ads -> Email -> Referral,Search Ads,Brand Awareness,Referral,Brand Awareness,1,1,1,3.0,0,0,2025-02-11 12:21:00,2025-02-11 22:50:00,"Brand Awareness, Winter Sale, Brand Awareness"
11107,2,Referral -> Social Media,Referral,-,Social Media,Brand Awareness,1,1,1,2.0,0,0,2025-02-10 17:44:00,2025-02-10 23:07:00,"-, Brand Awareness"
11177,3,Display Ads -> Search Ads -> Search Ads,Display Ads,New Product Launch,Search Ads,New Product Launch,1,0,1,2.0,1,0,2025-02-10 00:03:00,2025-02-11 13:25:00,"New Product Launch, -, New Product Launch"
11186,2,Social Media -> Social Media,Social Media,Winter Sale,Social Media,Discount Offer,1,1,2,1.0,1,1,2025-02-10 02:52:00,2025-02-11 15:47:00,"Winter Sale, Discount Offer"
11209,3,Email -> Direct Traffic -> Direct Traffic,Email,Winter Sale,Direct Traffic,-,0,0,0,,0,0,2025-02-10 22:14:00,2025-02-10 23:08:00,"Winter Sale, -, -"
11233,4,Email -> Referral -> Referral -> Email,Email,Discount Offer,Email,Winter Sale,1,1,2,1.0,1,1,2025-02-10 07:59:00,2025-02-11 11:11:00,"Discount Offer, Brand Awareness, New Product Launch, Winter Sale"
11257,4,Email -> Display Ads -> Social Media -> Email,Email,Brand Awareness,Email,-,1,1,3,2.0,1,1,2025-02-10 13:08:00,2025-02-10 22:01:00,"Brand Awareness, Retargeting, Brand Awareness, -"
11284,4,Display Ads -> Social Media -> Email -> Social Media,Display Ads,Retargeting,Social Media,-,0,0,0,,0,0,2025-02-10 01:04:00,2025-02-11 08:40:00,"Retargeting, New Product Launch, Discount Offer, -"
11295,5,Social Media -> Social Media -> Social Media -> Referral -> Referral,Social Media,Brand Awareness,Referral,-,1,1,4,1.0,1,1,2025-02-10 05:48:00,2025-02-11 15:05:00,"Brand Awareness, Discount Offer, Discount Offer, Brand Awareness, -"
11365,2,Referral -> Display Ads,Referral,Winter Sale,Display Ads,Retargeting,1,1,1,2.0,0,0,2025-02-10 11:21:00,2025-02-11 06:36:00,"Winter Sale, Retargeting"
11396,1,Social Media,Social Media,Brand Awareness,Social Media,Brand Awareness,1,1,1,1.0,0,0,2025-02-11 13:32:00,2025-02-11 13:32:00,Brand Awareness
11416,7,Referral -> Social Media -> Direct Traffic -> Direct Traffic -> Display Ads -> Referral -> Email,Referral,Discount Offer,Email,Winter Sale,1,1,4,4.0,1,1,2025-02-10 07:28:00,2025-02-11 14:49:00,"Discount Offer, Brand Awareness, -, -, Discount Offer, Brand Awareness, Winter Sale"
11453,5,Referral -> Display Ads -> Email -> Referral -> Search Ads,Referral,Winter Sale,Search Ads,Winter Sale,1,1,1,5.0,0,0,2025-02-10 13:36:00,2025-02-11 23:35:00,"Winter Sale, New Product Launch, New Product Launch, Winter Sale, Winter Sale"
11503,4,Email -> Search Ads -> Direct Traffic -> Social Media,Email,New Product Launch,Social Media,Winter Sale,1,0,1,1.0,1,0,2025-02-10 01:13:00,2025-02-11 23:23:00,"New Product Launch, Winter Sale, -, Winter Sale"
11511,5,Referral -> Display Ads -> Email -> Referral -> Display Ads,Referral,-,Display Ads,Retargeting,1,1,2,1.0,1,1,2025-02-10 11:16:00,2025-02-11 16:15:00,"-, -, Discount Offer, -, Retargeting"
11611,4,Referral -> Direct Traffic -> Referral -> Direct Traffic,Referral,-,Direct Traffic,-,1,0,2,2.0,1,1,2025-02-10 03:38:00,2025-02-11 08:35:00,"-, -, Brand Awareness, -"
11661,6,Search Ads -> Display Ads -> Direct Traffic -> Search Ads -> Social Media -> Display Ads,Search Ads,Retargeting,Display Ads,Brand Awareness,1,1,3,1.0,1,1,2025-02-10 02:17:00,2025-02-11 22:42:00,"Retargeting, Brand Awareness, -, New Product Launch, Winter Sale, Brand Awareness"
11686,6,Email -> Direct Traffic -> Social Media -> Display Ads -> Search Ads -> Referral,Email,Winter Sale,Referral,Brand Awareness,1,1,3,2.0,1,1,2025-02-10 02:12:00,2025-02-11 22:31:00,"Winter Sale, -, Winter Sale, Discount Offer, Retargeting, Brand Awareness"
11741,4,Referral -> Display Ads -> Display Ads -> Referral,Referral,Brand Awareness,Referral,Discount Offer,1,0,2,2.0,1,1,2025-02-10 00:47:00,2025-02-11 12:51:00,"Brand Awareness, Retargeting, Discount Offer, Discount Offer"
11780,6,Email -> Display Ads -> Referral -> Display Ads -> Email -> Direct Traffic,Email,New Product Launch,Direct Traffic,-,1,0,2,1.0,1,1,2025-02-10 09:12:00,2025-02-11 22:22:00,"New Product Launch, Brand Awareness, -, Winter Sale, Winter Sale, -"
11784,5,Display Ads -> Search Ads -> Search Ads -> Referral -> Social Media,Display Ads,New Product Launch,Social Media,Winter Sale,1,0,1,1.0,1,0,2025-02-10 20:17:00,2025-02-11 18:13:00,"New Product Launch, New Product Launch, -, -, Winter Sale"
11790,5,Referral -> Search Ads -> Social Media -> Referral -> Email,Referral,-,Email,-,1,1,3,1.0,1,1,2025-02-10 03:44:00,2025-02-11 23:32:00,"-, Retargeting, Discount Offer, Brand Awareness, -"
11798,3,Direct Traffic -> Search Ads -> Email,Direct Traffic,-,Email,Retargeting,1,1,2,2.0,1,1,2025-02-10 04:38:00,2025-02-11 10:28:00,"-, New Product Launch, Retargeting"
11801,4,Search Ads -> Social Media -> Search Ads -> Direct Traffic,Search Ads,New Product Launch,Direct Traffic,-,1,1,4,1.0,1,1,2025-02-10 01:14:00,2025-02-11 23:54:00,"New Product Launch, Winter Sale, Brand Awareness, -"
11831,6,Search Ads -> Social Media -> Social Media -> Email -> Direct Traffic -> Referral,Search Ads,Winter Sale,Referral,Brand Awareness,1,1,4,2.0,1,1,2025-02-10 12:16:00,2025-02-11 23:47:00,"Winter Sale, Discount Offer, New Product Launch, -, -, Brand Awareness"
11835,2,Referral -> Social Media,Referral,Brand Awareness,Social Media,Discount Offer,1,0,1,1.0,1,0,2025-02-10 00:51:00,2025-02-11 23:11:00,"Brand Awareness, Discount Offer"
11894,3,Direct Traffic -> Display Ads -> Referral,Direct Traffic,-,Referral,Brand Awareness,1,0,1,2.0,1,0,2025-02-10 00:40:00,2025-02-10 15:47:00,"-, Discount Offer, Brand Awareness"
11914,4,Display Ads -> Search Ads -> Email -> Email,Display Ads,Brand Awareness,Email,Winter Sale,1,0,2,2.0,1,1,2025-02-10 03:18:00,2025-02-11 08:53:00,"Brand Awareness, Brand Awareness, Discount Offer, Winter Sale"
11917,6,Social Media -> Search Ads -> Direct Traffic -> Direct Traffic -> Email -> Display Ads,Social Media,Retargeting,Display Ads,New Product Launch,1,0,4,1.0,1,1,2025-02-10 07:20:00,2025-02-11 06:50:00,"Retargeting, Retargeting, -, -, Winter Sale, New Product Launch"
12077,2,Email -> Social Media,Email,Discount Offer,Social Media,-,0,0,0,,0,0,2025-02-10 21:38:00,2025-02-11 21:10:00,"Discount Offer, -"
12121,5,Search Ads -> Social Media -> Search Ads -> Search Ads -> Email,Search Ads,Retargeting,Email,Winter Sale,1,1,5,1.0,1,1,2025-02-10 07:13:00,2025-02-11 12:17:00,"Retargeting, -, Winter Sale, Winter Sale, Winter Sale"
12217,4,Email -> Social Media -> Referral -> Display Ads,Email,New Product Launch,Display Ads,-,1,1,4,1.0,1,1,2025-02-10 04:04:00,2025-02-11 16:45:00,"New Product Launch, New Product Launch, Retargeting, -"
12225,1,Email,Email,Brand Awareness,Email,Brand Awareness,1,1,1,1.0,0,0,2025-02-10 19:20:00,2025-02-10 19:20:00,Brand Awareness
12248,1,Referral,Referral,New Product Launch,Referral,New Product Launch,0,0,0,,0,0,2025-02-11 09:17:00,2025-02-11 09:17:00,New Product Launch
12269,3,Display Ads -> Social Media -> Social Media,Display Ads,Discount Offer,Social Media,Winter Sale,0,0,0,,0,0,2025-02-10 18:19:00,2025-02-11 21:01:00,"Discount Offer, Discount Offer, Winter Sale"
12275,8,Email -> Direct Traffic -> Search Ads -> Direct Traffic -> Display Ads -> Email -> Search Ads -> Search Ads,Email,Discount Offer,Search Ads,Discount Offer,1,0,2,1.0,1,1,2025-02-10 01:14:00,2025-02-11 20:26:00,"Discount Offer, -, Retargeting, -, Discount Offer, Discount Offer, Winter Sale, Discount Offer"
12350,3,Direct Traffic -> Direct Traffic -> Display Ads,Direct Traffic,-,Display Ads,Brand Awareness,1,0,1,2.0,1,0,2025-02-10 07:45:00,2025-02-11 12:54:00,"-, -, Brand Awareness"
12397,2,Display Ads -> Direct Traffic,Display Ads,Discount Offer,Direct Traffic,-,0,0,0,,0,0,2025-02-11 03:02:00,2025-02-11 19:59:00,"Discount Offer, -"
12410,2,Social Media -> Direct Traffic,Social Media,Retargeting,Direct Traffic,-,0,0,0,,0,0,2025-02-10 19:11:00,2025-02-11 09:49:00,"Retargeting, -"
12432,2,Search Ads -> Direct Traffic,Search Ads,Discount Offer,Direct Traffic,-,0,0,0,,0,0,2025-02-10 03:49:00,2025-02-10 15:54:00,"Discount Offer, -"
12459,6,Referral -> Social Media -> Social Media -> Social Media -> Direct Traffic -> Referral,Referral,New Product Launch,Referral,Brand Awareness,1,1,5,2.0,1,1,2025-02-10 02:12:00,2025-02-11 21:08:00,"New Product Launch, New Product Launch, -, Brand Awareness, -, Brand Awareness"
12509,4,Display Ads -> Referral -> Social Media -> Email,Display Ads,Retargeting,Email,Discount Offer,1,1,3,1.0,1,1,2025-02-10 14:03:00,2025-02-11 19:28:00,"Retargeting, Winter Sale, Discount Offer, Discount Offer"
12641,4,Display Ads -> Social Media -> Direct Traffic -> Referral,Display Ads,Winter Sale,Referral,Brand Awareness,1,0,2,1.0,1,1,2025-02-10 02:26:00,2025-02-11 22:29:00,"Winter Sale, Retargeting, -, Brand Awareness"
12663,4,Search Ads -> Display Ads -> Referral -> Direct Traffic,Search Ads,Winter Sale,Direct Traffic,-,1,1,3,1.0,1,1,2025-02-10 07:28:00,2025-02-11 17:36:00,"Winter Sale, New Product Launch, Discount Offer, -"
12712,2,Referral -> Direct Traffic,Referral,Winter Sale,Direct Traffic,-,1,0,1,1.0,1,0,2025-02-11 03:01:00,2025-02-11 05:29:00,"Winter Sale, -"
12731,3,Search Ads -> Search Ads -> Search Ads,Search Ads,Winter Sale,Search Ads,Brand Awareness,1,1,2,1.0,1,1,2025-02-10 03:28:00,2025-02-11 12:42:00,"Winter Sale, Winter Sale, Brand Awareness"
12755,2,Referral -> Email,Referral,Brand Awareness,Email,Discount Offer,0,0,0,,0,0,2025-02-10 20:51:00,2025-02-11 16:54:00,"Brand Awareness, Discount Offer"
12756,3,Email -> Referral -> Direct Traffic,Email,Discount Offer,Direct Traffic,-,0,0,0,,0,0,2025-02-10 11:08:00,2025-02-11 06:28:00,"Discount Offer, New Product Launch, -"
12797,2,Search Ads -> Social Media,Search Ads,Brand Awareness,Social Media,-,1,0,1,1.0,1,0,2025-02-10 00:04:00,2025-02-11 00:32:00,"Brand Awareness, -"
12806,2,Search Ads -> Social Media,Search Ads,New Product Launch,Social Media,New Product Launch,1,0,1,1.0,1,0,2025-02-11 04:26:00,2025-02-11 09:38:00,"New Product Launch, New Product Launch"
12855,3,Search Ads -> Social Media -> Referral,Search Ads,-,Referral,Winter Sale,1,1,2,1.0,1,1,2025-02-10 04:55:00,2025-02-11 06:24:00,"-, -, Winter Sale"
12863,3,Email -> Search Ads -> Email,Email,Winter Sale,Email,Winter Sale,1,1,2,1.0,1,1,2025-02-10 07:30:00,2025-02-11 16:17:00,"Winter Sale, New Product Launch, Winter Sale"
12877,5,Display Ads -> Direct Traffic -> Email -> Email -> Search Ads,Display Ads,Winter Sale,Search Ads,Brand Awareness,1,1,3,1.0,1,1,2025-02-10 02:08:00,2025-02-11 14:01:00,"Winter Sale, -, Brand Awareness, Retargeting, Brand Awareness"
13004,6,Referral -> Social Media -> Email -> Referral -> Social Media -> Email,Referral,New Product Launch,Email,-,1,1,6,1.0,1,1,2025-02-10 03:26:00,2025-02-11 13:20:00,"New Product Launch, New Product Launch, Retargeting, Winter Sale, New Product Launch, -"
13035,6,Social Media -> Email -> Search Ads -> Referral -> Search Ads -> Direct Traffic,Social Media,Winter Sale,Direct Traffic,-,1,1,4,2.0,1,1,2025-02-10 01:42:00,2025-02-11 16:06:00,"Winter Sale, Winter Sale, Retargeting, Winter Sale, Brand Awareness, -"
13090,4,Email -> Social Media -> Social Media -> Referral,Email,New Product Launch,Referral,Discount Offer,1,1,3,1.0,1,1,2025-02-10 01:43:00,2025-02-11 22:47:00,"New Product Launch, Brand Awareness, Retargeting, Discount Offer"
13102,2,Referral -> Search Ads,Referral,Winter Sale,Search Ads,New Product Launch,1,1,2,1.0,1,1,2025-02-10 12:29:00,2025-02-11 01:19:00,"Winter Sale, New Product Launch"
13116,3,Direct Traffic -> Display Ads -> Referral,Direct Traffic,-,Referral,Winter Sale,1,0,1,1.0,1,0,2025-02-10 01:45:00,2025-02-11 16:44:00,"-, Discount Offer, Winter Sale"
13125,3,Social Media -> Direct Traffic -> Search Ads,Social Media,-,Search Ads,Retargeting,1,1,3,1.0,1,1,2025-02-10 04:33:00,2025-02-11 15:14:00,"-, -, Retargeting"
13139,2,Social Media -> Referral,Social Media,Discount Offer,Referral,Brand Awareness,0,0,0,,0,0,2025-02-11 06:43:00,2025-02-11 22:47:00,"Discount Offer, Brand Awareness"
13184,4,Display Ads -> Search Ads -> Search Ads -> Email,Display Ads,Winter Sale,Email,-,1,0,2,2.0,1,1,2025-02-10 15:08:00,2025-02-11 11:04:00,"Winter Sale, Brand Awareness, -, -"
13186,12,Email -> Direct Traffic -> Social Media -> Display Ads -> Email -> Referral -> Display Ads -> Display Ads -> Display Ads -> Direct Traffic -> Email -> Referral,Email,Discount Offer,Referral,Retargeting,1,0,1,8.0,1,0,2025-02-10 00:43:00,2025-02-11 15:55:00,"Discount Offer, -, New Product Launch, Winter Sale, New Product Launch, New Product Launch, Discount Offer, Brand Awareness, New Product Launch, -, Brand Awareness, Retargeting"
13191,5,Display Ads -> Referral -> Direct Traffic -> Social Media -> Referral,Display Ads,Winter Sale,Referral,-,1,0,2,1.0,1,1,2025-02-10 08:11:00,2025-02-11 02:31:00,"Winter Sale, -, -, Winter Sale, -"
13230,5,Display Ads -> Email -> Social Media -> Display Ads -> Referral,Display Ads,Retargeting,Referral,Discount Offer,1,1,4,1.0,1,1,2025-02-10 03:15:00,2025-02-11 23:24:00,"Retargeting, Winter Sale, -, Retargeting, Discount Offer"
13364,2,Display Ads -> Referral,Display Ads,Brand Awareness,Referral,Winter Sale,1,1,1,2.0,0,0,2025-02-10 01:28:00,2025-02-11 16:34:00,"Brand Awareness, Winter Sale"
13399,2,Display Ads -> Referral,Display Ads,-,Referral,-,1,1,1,2.0,0,0,2025-02-10 22:30:00,2025-02-11 17:45:00,"-, -"
13403,2,Search Ads -> Display Ads,Search Ads,Winter Sale,Display Ads,Brand Awareness,1,1,1,2.0,0,0,2025-02-11 18:16:00,2025-02-11 22:20:00,"Winter Sale, Brand Awareness"
13426,5,Referral -> Direct Traffic -> Email -> Social Media -> Direct Traffic,Referral,New Product Launch,Direct Traffic,-,1,0,2,2.0,1,1,2025-02-10 17:04:00,2025-02-11 18:21:00,"New Product Launch, -, New Product Launch, Winter Sale, -"
13428,6,Referral -> Display Ads -> Social Media -> Social Media -> Search Ads -> Search Ads,Referral,New Product Launch,Search Ads,New Product Launch,1,0,2,2.0,1,1,2025-02-10 10:40:00,2025-02-11 21:28:00,"New Product Launch, Retargeting, Discount Offer, Discount Offer, -, New Product Launch"
13438,3,Email -> Search Ads -> Referral,Email,Retargeting,Referral,Winter Sale,1,1,3,1.0,1,1,2025-02-10 20:37:00,2025-02-11 16:06:00,"Retargeting, Brand Awareness, Winter Sale"
13444,3,Referral -> Social Media -> Direct Traffic,Referral,Discount Offer,Direct Traffic,-,1,1,2,1.0,1,1,2025-02-10 22:47:00,2025-02-11 20:49:00,"Discount Offer, Retargeting, -"
13460,1,Search Ads,Search Ads,Winter Sale,Search Ads,Winter Sale,1,1,1,1.0,0,0,2025-02-11 18:10:00,2025-02-11 18:10:00,Winter Sale
13465,1,Display Ads,Display Ads,New Product Launch,Display Ads,New Product Launch,1,1,1,1.0,0,0,2025-02-10 20:21:00,2025-02-10 20:21:00,New Product Launch
13471,6,Display Ads -> Search Ads -> Referral -> Social Media -> Referral -> Search Ads,Display Ads,Retargeting,Search Ads,Retargeting,1,1,5,2.0,1,1,2025-02-10 00:26:00,2025-02-11 19:26:00,"Retargeting, Winter Sale, Winter Sale, Discount Offer, Retargeting, Retargeting"
13480,3,Search Ads -> Display Ads -> Social Media,Search Ads,Discount Offer,Social Media,New Product Launch,1,1,1,3.0,0,0,2025-02-10 03:32:00,2025-02-10 21:16:00,"Discount Offer, Winter Sale, New Product Launch"
13528,4,Direct Traffic -> Social Media -> Social Media -> Email,Direct Traffic,-,Email,Discount Offer,1,0,1,3.0,1,0,2025-02-10 07:10:00,2025-02-11 03:27:00,"-, Discount Offer, Discount Offer, Discount Offer"
13534,2,Email -> Search Ads,Email,-,Search Ads,New Product Launch,1,0,1,1.0,1,0,2025-02-10 21:33:00,2025-02-11 13:22:00,"-, New Product Launch"
13558,2,Direct Traffic -> Social Media,Direct Traffic,-,Social Media,Discount Offer,0,0,0,,0,0,2025-02-10 17:58:00,2025-02-11 21:59:00,"-, Discount Offer"
13584,3,Email -> Display Ads -> Email,Email,Brand Awareness,Email,Retargeting,1,1,2,1.0,1,1,2025-02-10 19:55:00,2025-02-11 05:18:00,"Brand Awareness, Retargeting, Retargeting"
13687,3,Social Media -> Social Media -> Direct Traffic,Social Media,-,Direct Traffic,-,1,0,1,2.0,1,0,2025-02-10 01:34:00,2025-02-10 21:12:00,"-, New Product Launch, -"
13737,3,Direct Traffic -> Search Ads -> Display Ads,Direct Traffic,-,Display Ads,Winter Sale,1,0,2,1.0,1,1,2025-02-11 00:26:00,2025-02-11 18:40:00,"-, -, Winter Sale"
13771,5,Display Ads -> Social Media -> Direct Traffic -> Email -> Direct Traffic,Display Ads,Discount Offer,Direct Traffic,-,1,1,2,2.0,1,1,2025-02-10 03:20:00,2025-02-11 21:24:00,"Discount Offer, Brand Awareness, -, Retargeting, -"
13775,4,Search Ads -> Direct Traffic -> Search Ads -> Direct Traffic,Search Ads,Retargeting,Direct Traffic,-,1,1,3,1.0,1,1,2025-02-10 08:58:00,2025-02-11 21:48:00,"Retargeting, -, Brand Awareness, -"
13806,3,Search Ads -> Referral -> Search Ads,Search Ads,-,Search Ads,New Product Launch,1,1,2,2.0,1,1,2025-02-10 00:05:00,2025-02-10 17:05:00,"-, Discount Offer, New Product Launch"
