user_id,converted_any_yes,last_touch_yes,n_touchpoints,channel_direct_traffic,channel_display_ads,channel_email,channel_referral,channel_search_ads,channel_social_media
13116,1,0,3,1,1,0,1,0,0
13125,1,1,3,1,0,0,0,1,1
13139,0,0,2,0,0,0,1,0,1
13184,1,0,4,0,1,1,0,1,0
13186,1,0,12,1,1,1,1,0,1
13191,1,0,5,1,1,0,1,0,1
13230,1,1,5,0,1,1,1,0,1
13364,1,1,2,0,1,0,1,0,0
13399,1,1,2,0,1,0,1,0,0
13403,1,1,2,0,1,0,0,1,0
13426,1,0,5,1,0,1,1,0,1
13428,1,0,6,0,1,0,1,1,1
13438,1,1,3,0,0,1,1,1,0
13444,1,1,3,1,0,0,1,0,1
13460,1,1,1,0,0,0,0,1,0
13465,1,1,1,0,1,0,0,0,0
13471,1,1,6,0,1,0,1,1,1
13480,1,1,3,0,1,0,0,1,1
13528,1,0,4,1,0,1,0,0,1
13534,1,0,2,0,0,1,0,1,0
13558,0,0,2,1,0,0,0,0,1
13584,1,1,3,0,1,1,0,0,0
13687,1,0,3,1,0,0,0,0,1
13737,1,0,3,1,1,0,0,1,0
13771,1,1,5,1,1,1,0,0,1
13775,1,1,4,1,0,0,0,1,0
13806,1,1,3,0,0,0,1,1,0
13864,0,0,1,1,0,0,0,0,0
13872,0,0,4,1,0,0,1,1,0
13967,1,1,6,0,1,1,0,0,1
13980,1,1,1,0,0,0,0,1,0
14036,1,1,2,1,0,0,1,0,0
14049,1,1,4,0,1,0,0,1,1
14080,1,0,5,1,0,0,0,1,0
14172,0,0,1,0,0,1,0,0,0
14212,1,1,4,1,0,0,1,0,0
14377,1,0,2,0,0,1,0,1,0
14386,1,1,4,1,0,0,1,0,1
14396,1,1,3,0,1,0,0,0,1
14398,1,1,8,1,0,1,1,0,1
14476,1,1,2,1,1,0,0,0,0
14668,1,1,2,0,0,1,0,1,0
14782,1,1,3,1,1,0,0,0,1
14798,1,1,4,1,1,1,1,0,0
14916,1,1,4,1,0,0,0,1,0
14978,1,1,5,0,1,0,0,1,1
14987,1,1,1,0,1,0,0,0,0
15025,1,1,3,0,1,0,1,0,0
15052,1,1,4,1,0,1,0,0,1
15082,1,0,4,1,1,0,1,0,1
15105,1,1,2,0,0,0,1,0,1
15145,1,1,3,0,1,0,1,0,0
15152,1,0,6,1,1,0,1,1,0
15176,1,1,6,1,1,0,1,0,0
15190,1,1,4,1,0,1,1,1,0
15208,1,1,3,0,0,0,0,1,0
15233,1,0,4,1,1,0,0,1,0
15239,1,0,3,0,0,1,0,1,1
15241,0,0,3,1,1,0,0,0,1
15259,1,0,3,1,0,0,1,1,0
15277,1,1,3,0,0,1,0,1,1
15351,1,0,6,0,1,1,1,1,1
15390,0,0,4,1,0,0,1,1,0
15395,1,1,3,1,0,0,1,0,1
15418,1,1,4,1,0,1,0,0,0
15491,1,1,2,0,0,0,1,0,1
15535,1,1,4,0,1,1,1,0,1
15555,1,1,2,0,1,0,0,0,1
15578,0,0,3,1,0,0,0,1,0
15582,1,0,5,1,0,1,1,1,0
15596,1,0,6,1,1,1,0,0,1
15632,0,0,1,0,0,1,0,0,0
15640,1,1,3,0,1,1,1,0,0
15891,1,0,3,1,0,0,1,1,0
15921,1,1,4,0,1,0,0,1,1
15924,1,0,6,0,0,0,1,1,1
15937,1,1,1,0,1,0,0,0,0
15978,1,0,5,0,1,1,1,1,1
16004,1,1,4,0,1,1,0,0,1
16008,1,0,4,0,1,1,1,0,0
16062,0,0,3,0,0,1,0,1,0
16075,1,0,3,1,0,0,0,1,1
16083,1,1,4,0,1,1,0,0,0
16248,1,1,2,1,0,0,0,0,0
16255,1,0,3,1,0,1,0,0,1
16270,1,0,2,0,0,1,0,1,0
16302,1,1,2,0,0,0,0,1,0
16304,1,1,2,0,1,0,1,0,0
16311,1,1,2,0,0,1,0,0,1
16337,1,0,3,1,1,0,1,0,0
16348,1,1,4,1,0,1,1,0,0
16386,1,1,1,0,1,0,0,0,0
16416,0,0,1,0,0,0,0,1,0
16536,1,0,4,0,1,0,0,1,1
16561,0,0,3,0,0,1,0,1,1
16566,1,1,1,1,0,0,0,0,0
16621,1,1,2,0,1,0,0,1,0
16659,0,0,1,0,0,0,0,0,1
16713,1,0,4,1,0,1,0,0,1
16756,1,1,4,1,1,0,0,1,0
16758,0,0,3,1,1,0,0,0,0
16785,1,0,3,1,1,1,0,0,0
16814,1,0,3,0,1,1,0,0,1
16834,1,1,2,0,0,0,1,0,0
16863,0,0,1,0,0,0,0,1,0
16893,1,1,5,1,0,0,1,1,1
16916,1,0,5,1,0,0,0,0,1
16955,1,1,1,0,0,0,1,0,0
16979,0,0,3,1,0,1,0,0,1
17012,1,0,5,1,1,0,1,1,1
17074,1,1,4,0,1,0,1,1,0
17126,1,0,2,0,1,0,0,0,0
17133,1,1,6,0,1,1,1,0,1
17168,1,1,5,0,1,1,0,0,1
17272,1,0,3,1,0,1,0,1,0
17278,1,1,2,1,0,0,1,0,0
17287,1,0,6,0,1,0,1,0,1
17302,1,1,1,0,0,0,0,1,0
17329,1,1,4,1,1,0,1,0,1
17396,1,1,3,1,0,0,1,1,0
17415,1,1,1,0,0,0,1,0,0
17478,1,1,7,0,1,1,1,1,0
17497,1,0,2,0,1,0,0,0,1
17566,1,1,5,0,0,1,1,1,1
17598,1,0,5,0,1,1,0,1,0
17611,1,0,9,1,0,1,1,1,1
17614,1,0,6,1,0,0,0,1,1
17619,1,0,3,1,0,0,0,1,0
17634,1,0,6,1,1,0,1,0,1
17647,0,0,1,0,0,1,0,0,0
17656,1,0,4,0,0,0,1,0,1
17702,1,1,9,1,1,1,1,0,1
17708,0,0,1,1,0,0,0,0,0
17714,1,0,4,0,1,1,0,0,1
17715,1,1,4,0,0,1,1,1,1
17726,1,0,4,1,0,1,0,1,1
17727,1,1,4,1,1,0,0,0,1
17737,1,1,1,0,1,0,0,0,0
17756,0,0,1,0,0,1,0,0,0
17761,1,1,7,1,0,0,1,0,1
17769,1,1,1,0,0,0,0,0,1
17784,1,0,3,0,0,1,0,1,0
17863,1,0,4,1,0,1,0,0,0
17879,1,0,4,0,0,1,1,1,0
17981,1,1,1,0,0,0,0,1,0
18152,1,1,2,0,0,1,0,1,0
18280,1,1,2,0,1,0,1,0,0
18298,1,0,6,0,1,1,0,1,1
18301,1,0,5,0,1,0,1,1,0
18348,1,1,1,0,1,0,0,0,0
18383,1,0,4,0,1,1,1,1,0
18441,1,1,4,1,1,0,1,0,1
18443,0,0,1,0,0,0,0,1,0
18444,1,1,1,0,0,1,0,0,0
18448,1,1,2,0,0,0,1,0,1
18490,0,0,1,0,0,0,0,1,0
18492,1,1,4,1,1,0,1,0,1
18503,1,1,3,1,0,1,1,0,0
18565,1,1,2,1,0,0,1,0,0
18572,1,0,3,1,0,1,1,0,0
18582,1,0,4,1,1,0,1,0,0
18587,1,0,4,0,1,0,1,0,1
18589,1,1,2,0,0,0,1,0,1
18618,1,0,2,1,1,0,0,0,0
18622,0,0,3,1,0,1,0,0,0
18699,1,1,2,1,0,1,0,0,0
18845,1,1,2,0,1,0,0,0,1
18871,1,1,1,0,0,0,0,0,1
18955,1,0,5,0,0,1,1,1,0
18981,1,1,2,0,0,0,1,0,1
18995,0,0,2,1,0,0,0,1,0
19049,0,0,2,0,0,0,0,1,0
19097,1,0,5,1,1,1,0,1,1
19180,1,0,5,0,0,1,1,1,1
19184,1,0,5,1,1,0,0,0,1
19262,1,0,3,0,1,0,1,0,1
19328,1,1,2,1,0,0,0,1,0
19350,1,1,3,0,1,1,0,0,1
19364,1,0,4,1,1,0,1,0,0
19372,1,0,2,0,0,1,0,0,1
19385,1,1,5,1,1,0,1,0,1
19388,1,1,4,0,0,0,1,1,1
19400,1,0,5,1,0,1,1,0,0
19442,0,0,2,0,1,0,1,0,0
19444,1,1,4,1,1,0,0,0,1
19454,1,1,5,1,0,0,0,1,1
19507,1,1,4,0,0,1,1,1,0
19517,1,1,3,1,0,0,0,1,1
19644,1,0,5,0,1,1,1,1,1
19651,1,1,2,1,1,0,0,0,0
19679,1,1,2,0,0,0,1,0,1
19754,1,1,4,1,1,1,0,0,0
19759,1,1,4,1,1,1,0,0,0
19792,1,0,3,1,1,0,1,0,0
19800,1,1,2,0,0,0,0,1,1
19816,0,0,5,0,1,1,1,0,1
19967,1,0,5,1,0,0,1,1,0
19971,1,0,3,1,0,1,1,0,0
20021,0,0,2,0,1,0,0,0,0
20098,0,0,2,0,0,0,0,1,0
20111,1,1,6,1,1,1,1,1,0
20124,0,0,3,1,1,0,1,0,0
20300,1,1,4,1,0,0,1,0,1
20306,1,0,3,1,0,0,0,0,1
20384,0,0,1,0,1,0,0,0,0
20400,1,0,3,0,1,1,0,1,0
20460,0,0,1,0,0,1,0,0,0
20507,1,1,3,0,0,1,0,1,1
20510,1,1,3,0,1,0,0,0,1
20513,1,1,5,0,1,0,1,1,0
20524,1,1,7,1,1,1,1,0,0
20594,1,1,2,1,0,0,0,0,1
20632,1,1,2,1,0,0,0,0,1
20685,1,0,2,1,1,0,0,0,0
20743,1,1,5,1,1,0,1,1,0
20826,1,0,2,0,0,0,0,1,1
20853,1,0,7,1,1,1,1,1,0
20895,1,1,6,0,1,1,0,1,1
20916,1,0,6,1,0,0,1,0,1
20985,1,1,2,1,1,0,0,0,0
20990,1,0,2,0,0,0,1,0,1
20999,1,1,2,1,0,1,0,0,0
21001,0,0,2,1,1,0,0,0,0
21017,1,1,1,0,0,0,0,1,0
21038,1,1,4,1,1,0,1,0,1
21116,0,0,2,0,0,0,0,1,1
21177,0,0,3,1,0,1,0,0,0
21212,1,1,3,0,1,0,0,0,1
21255,1,1,6,1,1,1,0,1,1
21314,1,1,1,0,1,0,0,0,0
21343,1,0,4,0,0,1,0,1,1
21401,0,0,3,1,0,1,0,0,1
21445,1,1,3,1,0,0,0,0,1
21484,0,0,4,0,1,1,0,0,1
21504,1,1,6,0,1,0,1,1,1
21531,0,0,1,0,0,0,0,0,1
21537,1,0,4,1,1,0,0,0,1
21550,1,0,2,0,0,0,1,0,1
21567,1,1,1,0,0,0,0,1,0
21584,0,0,2,1,0,0,0,0,0
21595,1,1,4,0,1,1,1,0,1
21596,1,1,3,0,1,1,1,0,0
21628,0,0,5,1,0,1,1,1,0
21644,1,1,2,0,1,0,1,0,0
21667,1,0,3,0,0,1,1,1,0
21668,1,1,4,0,1,0,0,1,1
21690,1,0,6,0,1,1,1,1,0
21704,1,0,3,0,0,1,0,1,1
21712,1,1,5,1,0,0,0,1,1
21713,0,0,1,1,0,0,0,0,0
21755,0,0,2,1,0,0,0,0,0
21757,1,1,3,0,1,0,0,1,0
21787,1,0,3,1,0,0,0,1,1
21788,1,1,3,0,0,1,1,0,1
21815,1,1,1,0,0,0,0,1,0
21824,1,1,4,1,1,0,0,1,0
21910,1,1,7,0,1,1,1,1,1
21944,1,1,1,0,1,0,0,0,0
21995,1,0,2,1,0,1,0,0,0
22011,1,0,2,1,1,0,0,0,0
22118,0,0,2,0,0,0,1,1,0
22127,0,0,1,1,0,0,0,0,0
22192,1,1,2,0,1,0,0,0,1
22270,1,1,6,1,1,1,0,1,0
22280,1,1,2,0,0,1,0,1,0
22343,0,0,3,0,0,0,0,1,1
22358,1,0,6,0,1,1,1,0,1
22385,1,0,4,0,0,1,1,1,1
22387,1,0,2,0,0,1,1,0,0
22407,1,1,5,1,0,1,1,0,0
22475,0,0,2,0,0,1,1,0,0
22516,0,0,3,1,0,0,0,1,1
22553,0,0,1,0,0,1,0,0,0
22669,0,0,2,0,0,0,0,1,0
22673,1,1,2,0,0,1,0,0,0
22684,1,0,3,1,0,1,0,0,0
22723,1,1,2,1,1,0,0,0,0
22725,1,0,3,0,1,1,0,1,0
22741,0,0,5,1,0,1,0,1,1
22743,1,0,4,1,0,1,0,1,0
22755,1,0,3,0,1,0,0,0,1
22773,1,0,5,0,0,1,0,1,1
22811,1,1,3,1,0,0,1,1,0
22861,1,1,6,0,1,1,1,1,0
22863,1,0,5,1,0,1,0,1,1
22917,1,1,6,1,1,1,0,1,1
22921,1,0,4,0,1,1,0,1,0
22923,1,1,5,0,0,1,0,1,1
22931,1,1,4,1,1,1,0,0,0
22943,1,0,6,0,1,1,1,1,0
22992,1,1,2,0,0,0,0,0,1
23018,1,1,4,1,1,1,0,1,0
23031,1,1,1,0,1,0,0,0,0
23202,1,0,5,1,1,1,0,0,0
23206,1,0,3,0,0,1,1,1,0
23209,1,1,5,1,0,1,1,1,1
23216,1,0,4,1,1,0,1,0,0
23233,1,0,4,1,0,1,0,1,0
23279,1,1,3,0,0,1,0,1,0
23331,1,0,4,1,0,0,0,1,1
23332,0,0,3,1,0,0,0,1,0
23362,0,0,2,0,0,1,0,1,0
23415,1,1,2,0,0,1,1,0,0
23449,1,0,5,0,1,0,1,1,0
23463,1,1,4,1,0,0,1,1,0
23482,1,1,3,1,0,1,1,0,0
23486,1,1,4,0,1,0,0,1,1
23497,0,0,3,1,0,0,1,0,0
23567,1,0,2,1,1,0,0,0,0
23589,1,1,2,0,0,0,1,1,0
23599,1,1,2,1,0,0,1,0,0
23621,1,1,5,1,1,0,1,0,0
23671,1,0,4,1,1,0,1,0,0
23733,1,1,4,0,1,1,1,1,0
23747,1,1,2,0,0,0,0,0,1
23781,1,1,3,0,0,0,1,0,1
23799,1,0,4,1,0,0,1,0,0
23839,0,0,2,0,0,0,0,1,1
23863,1,0,3,0,0,1,0,1,1
23927,1,0,5,1,1,0,1,0,1
23958,1,1,5,1,0,0,1,0,0
23968,1,0,3,0,1,0,0,1,0
24012,1,1,3,0,0,0,1,1,0
24014,1,1,3,1,0,1,0,1,0
24025,1,1,5,0,1,1,1,1,0
24114,1,0,3,1,0,1,0,0,1
24161,1,0,5,1,1,1,1,1,0
24212,1,1,5,0,1,0,1,0,1
24215,1,0,5,0,1,0,1,1,1
24221,1,1,4,0,0,1,0,1,1
24239,0,0,1,0,0,0,0,1,0
24251,1,1,6,1,1,1,1,0,0
24256,1,1,7,0,1,1,1,1,1
24369,0,0,1,0,0,0,0,1,0
24413,1,1,2,0,1,0,0,1,0
24433,1,1,2,0,1,0,0,0,0
24452,1,1,3,0,0,0,1,0,1
24508,1,0,2,0,0,1,1,0,0
24526,1,1,2,0,1,0,0,0,1
24568,1,0,3,0,1,1,0,0,1
24576,1,0,3,1,0,0,0,1,1
24581,1,0,2,0,1,0,0,0,1
24594,1,0,4,1,1,1,0,0,0
24620,1,1,2,1,0,0,0,1,0
24634,1,0,3,0,1,0,1,0,0
24734,1,1,3,1,1,0,0,1,0
24741,1,1,4,0,0,0,1,1,1
24761,1,1,2,0,0,0,1,1,0
24765,1,0,3,1,1,0,0,1,0
24771,1,1,5,0,1,1,0,1,1
24810,1,1,5,1,1,0,1,0,1
24833,1,1,1,0,0,0,1,0,0
24845,1,0,3,1,1,0,0,1,0
24876,1,1,7,1,1,0,0,1,1
24914,1,1,3,0,0,0,1,0,1
24956,1,0,7,1,1,0,1,1,1
25019,1,1,3,1,0,0,1,1,0
25085,1,0,4,0,0,1,1,0,1
25104,1,0,4,1,1,1,0,0,0
25105,1,0,3,0,0,1,0,1,1
25124,0,0,2,1,1,0,0,0,0
25134,1,0,5,0,1,0,1,1,1
25147,1,0,7,1,1,0,1,0,0
25150,0,0,1,1,0,0,0,0,0
25170,1,0,5,0,0,0,1,1,1
25172,1,0,5,1,1,1,1,0,0
25195,1,0,5,1,1,0,0,1,1
25229,1,0,4,1,0,0,1,1,1
25246,1,0,2,0,0,0,1,0,1
25254,1,0,4,0,0,1,1,0,1
25284,1,0,3,0,1,0,1,1,0
25290,1,1,1,0,0,0,1,0,0
25294,1,1,4,0,1,0,0,0,1
25303,0,0,2,0,0,1,1,0,0
25362,1,1,3,1,0,0,1,1,0
25369,1,1,3,0,0,1,0,0,1
25377,1,0,5,1,1,0,0,1,1
25403,1,1,2,1,0,0,1,0,0
25441,1,1,6,1,1,1,1,0,0
25468,0,0,2,0,0,1,1,0,0
25524,1,1,4,0,1,1,0,1,1
25539,0,0,2,0,0,0,0,1,1
25544,1,1,5,1,0,1,1,0,1
25547,1,1,6,1,1,1,1,0,0
25615,1,1,5,1,0,1,0,0,1
25617,1,1,1,0,1,0,0,0,0
25628,1,1,1,0,0,0,1,0,0
25633,1,0,3,1,0,0,1,0,1
25644,1,1,1,0,1,0,0,0,0
25687,1,1,1,0,0,0,1,0,0
25725,1,1,4,0,0,0,1,1,1
25765,1,0,3,0,0,0,0,1,1
25787,1,0,3,1,0,1,0,0,1
25790,1,1,5,1,1,1,1,0,1
25810,1,1,1,1,0,0,0,0,0
25845,1,0,4,0,0,1,1,0,0
25874,1,1,4,0,1,0,1,1,0
25901,1,1,3,0,1,0,0,0,1
25915,1,0,4,1,1,0,0,0,1
25952,1,1,4,0,1,0,0,0,1
25959,1,0,4,0,1,0,0,1,1
25978,1,0,3,0,0,0,0,1,1
26021,0,0,3,1,0,0,0,1,0
26085,1,1,2,0,0,1,1,0,0
26097,1,1,4,0,1,0,0,1,1
26109,1,1,6,1,1,1,0,0,1
26185,1,0,4,0,0,1,0,1,1
26189,1,0,5,1,1,1,0,1,0
26253,1,1,3,1,1,0,1,0,0
26291,1,0,3,1,0,1,0,0,1
26328,1,1,4,1,0,0,0,1,1
26384,0,0,2,1,0,1,0,0,0
26401,1,1,3,1,0,0,1,1,0
26430,1,1,6,0,1,1,1,1,1
26437,1,0,3,0,1,0,1,1,0
26511,1,1,9,1,1,1,1,1,0
26521,1,1,1,1,0,0,0,0,0
26537,1,1,2,0,0,0,0,0,1
26541,1,1,3,0,0,1,0,1,0
26582,1,1,4,0,1,0,0,0,1
26601,1,1,3,0,0,0,1,0,1
26622,1,1,6,0,1,1,0,1,1
26644,1,1,4,1,1,0,0,0,1
26648,1,1,4,1,1,1,0,0,0
26664,1,1,3,1,0,0,1,0,1
26670,1,1,2,0,0,0,1,0,1
26693,1,1,6,1,1,0,0,0,1
26727,1,0,5,1,0,1,1,1,1
26754,1,1,6,0,1,1,0,0,1
26763,1,1,4,0,1,0,1,0,1
26770,0,0,1,0,0,0,0,0,1
26783,1,0,5,1,0,1,0,1,1
26824,0,0,1,0,0,1,0,0,0
26827,0,0,3,0,1,1,0,0,1
26918,1,0,4,1,0,1,1,0,0
26927,1,1,3,0,1,1,1,0,0
27023,1,0,5,0,1,1,0,1,1
27048,1,0,5,1,0,1,0,1,1
27079,1,0,3,1,0,0,0,0,0
27106,1,0,2,1,1,0,0,0,0
27166,0,0,1,0,0,1,0,0,0
27167,1,1,4,1,0,0,1,1,1
27306,1,0,2,0,0,0,0,0,1
27344,0,0,2,0,1,0,0,0,0
27347,1,1,3,0,1,0,0,1,1
27371,1,0,6,1,0,1,1,1,1
27437,1,0,5,1,1,0,1,1,0
27438,1,1,3,0,0,0,1,1,1
27452,1,1,2,0,0,1,0,1,0
27463,1,1,3,0,1,0,1,0,1
27470,1,1,7,1,1,0,1,1,0
27480,1,0,2,1,0,0,1,0,0
27505,1,0,2,1,0,0,0,0,0
27506,1,0,3,1,1,1,0,0,0
27513,1,0,5,1,1,0,1,1,0
27541,1,0,2,1,0,1,0,0,0
27548,1,1,4,1,1,1,0,0,0
27556,1,1,5,0,1,1,1,1,1
27571,1,1,5,1,0,0,1,1,0
27589,1,0,5,1,1,1,0,0,1
27666,1,0,3,0,1,0,0,1,0
27700,0,0,2,1,0,0,0,1,0
27726,0,0,2,1,0,0,1,0,0
27730,0,0,1,0,0,1,0,0,0
27735,1,1,1,1,0,0,0,0,0
27767,1,1,3,0,0,0,1,0,1
27774,1,1,3,1,0,0,1,1,0
27778,1,0,6,1,1,0,1,0,1
27814,1,0,4,0,1,1,1,0,1
27925,1,1,4,1,1,0,1,0,1
27942,1,1,5,0,0,0,1,1,1
27944,1,0,3,0,1,0,0,1,1
27971,1,1,1,0,1,0,0,0,0
28047,1,1,2,0,0,1,0,0,1
28134,1,1,3,0,0,0,1,0,1
28144,1,0,5,1,1,0,1,0,1
28171,1,0,3,1,0,1,0,0,0
28194,1,0,3,0,0,0,1,0,1
28246,1,0,2,1,0,0,0,1,0
28265,1,1,9,1,1,1,1,1,1
28268,1,1,4,0,0,1,1,1,0
28289,1,1,3,0,0,1,0,1,0
28295,0,0,3,1,0,0,1,0,1
28297,0,0,4,0,1,1,1,0,0
28385,1,0,8,0,1,1,1,0,1
28387,1,1,3,0,1,0,0,1,0
28400,1,1,2,1,0,0,0,0,0
28413,0,0,1,0,0,0,1,0,0
28459,1,1,4,0,1,1,0,1,1
28481,1,1,4,0,0,1,0,0,1
28505,1,1,1,0,0,1,0,0,0
28511,1,1,5,0,1,1,0,0,1
28524,1,1,2,0,0,0,0,1,1
28556,0,0,2,1,0,0,1,0,0
28567,1,0,4,0,0,1,0,1,0
28587,1,1,3,0,1,0,1,0,0
28589,1,1,5,0,0,0,1,1,0
28594,1,1,1,0,0,0,0,1,0
28623,1,1,5,1,1,0,1,1,0
28721,0,0,3,0,0,0,0,1,1
28729,1,1,3,1,0,1,0,1,0
28751,0,0,2,0,0,1,0,0,1
28848,0,0,2,1,0,0,1,0,0
28870,1,1,3,0,1,1,0,0,0
28912,1,1,4,1,0,0,1,0,1
28918,1,0,4,1,1,0,0,1,0
28919,0,0,4,0,0,1,1,0,0
28948,1,0,3,1,1,0,0,0,1
28965,0,0,1,0,1,0,0,0,0
28985,1,1,6,1,1,1,1,0,1
28998,1,0,4,1,0,1,0,0,0
29015,1,1,4,1,0,1,1,0,1
29031,1,0,4,1,0,1,0,1,1
29096,1,1,1,0,0,1,0,0,0
29109,1,1,5,1,1,0,1,1,1
29113,1,0,4,1,1,0,0,0,1
29114,0,0,2,0,0,0,1,0,1
29149,1,0,3,1,0,0,0,1,1
29164,1,1,4,0,1,0,1,1,1
29196,1,1,3,0,1,1,0,1,0
29206,1,1,5,1,0,1,0,1,0
29238,1,0,6,1,0,0,0,1,1
29261,0,0,1,0,0,1,0,0,0
29272,1,0,4,1,0,0,0,1,1
29328,0,0,1,1,0,0,0,0,0
29368,1,0,4,0,0,0,1,1,1
29395,1,0,4,1,0,0,0,1,1
29440,1,0,5,1,0,1,0,1,1
29461,1,0,5,0,1,1,1,0,1
29505,1,1,3,0,1,0,0,1,1
29648,1,0,3,0,0,0,1,1,1
29664,1,1,2,1,0,0,0,0,1
29679,1,0,2,1,0,1,0,0,0
29709,1,0,4,0,0,0,1,1,1
29719,1,0,5,1,0,1,0,0,1
29734,1,1,4,0,1,1,0,0,1
29773,1,0,3,0,0,0,0,1,1
29785,1,1,4,1,1,1,0,0,0
29800,1,1,2,1,1,0,0,0,0
29809,1,1,10,1,1,1,1,1,0
29834,1,1,2,0,0,1,0,0,1
29837,1,0,6,1,0,1,1,0,1
29844,0,0,4,0,0,1,0,1,0
29877,1,1,7,1,1,1,1,0,0
29914,1,1,6,0,1,1,0,1,1
30026,1,0,3,0,0,1,1,0,0
30087,0,0,4,0,0,1,1,0,1
30136,0,0,4,0,1,0,0,1,1
30141,1,1,1,0,0,0,0,1,0
30155,1,1,6,1,0,0,0,1,1
30274,1,1,5,1,1,0,0,1,1
30280,1,1,2,1,0,0,0,0,0
30299,1,1,7,1,0,1,1,1,1
30339,1,1,3,1,1,0,1,0,0
30380,1,0,4,0,0,1,0,1,1
30419,0,0,1,1,0,0,0,0,0
30429,1,0,4,1,1,1,0,1,0
30443,0,0,1,0,0,0,0,1,0
30446,1,0,3,0,1,0,0,0,1
30447,1,1,3,0,1,0,0,1,1
30460,1,1,7,1,1,0,0,1,1
30468,1,1,5,0,0,0,1,1,1
